[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO] STEP step_002_secondary_spectra STARTED
[2026-05-15 12:58:19] [INFO] Description: Secondary spectrum computation S(τ, f_D)
[2026-05-15 12:58:19] [INFO] Physics: 2D Fourier transform of covariance C(Δt, Δν) = ⟨δI δI⟩
[2026-05-15 12:58:19] [INFO] Method: Vectorized FFT with conjugate symmetry optimization
[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO]       Auto-selected 8 FFT worker processes (TEP_WORKERS / TEP_STEP002_MAX_WORKERS override)
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO] ═══ STEP 002: Secondary Spectrum Generation & Arc Detection
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO]       M4 Pro Optimized Vectorized FFT Parallel: 8 workers
[2026-05-15 12:58:19] [INFO]       Min SNR threshold: 1.5, Sub-bands: 1
[2026-05-15 12:58:19] [INFO]       Processing 10201 J0437 epochs...
[2026-05-15 12:58:19] [INFO]       SKIP a050627_221524.rf.pcm: too small (10x128)
[2026-05-15 12:58:19] [INFO]       SKIP a050715_014505.rf.pcm: too small (14x512)
[2026-05-15 12:58:19] [INFO]       SKIP a050629_034318.rf.pcm: too small (15x128)
[2026-05-15 12:58:20] [INFO]       OK   a050629_005155.rf.pcm: sb0:25al
[2026-05-15 12:58:20] [INFO]       SKIP a050717_205533.rf.pcm: too small (11x512)
[2026-05-15 12:58:20] [INFO]       OK   a050628_050336.rf.pcm: sb0:30al
[2026-05-15 12:58:20] [INFO]       SKIP a050719_191139.rf.pcm: too small (11x512)
[2026-05-15 12:58:20] [INFO]       SKIP a050719_194355.rf.pcm: too small (13x512)
[2026-05-15 12:58:20] [INFO]       OK   a050621_010432.rf.pcm: sb0:30al
[2026-05-15 12:58:20] [INFO]       OK   a050715_011717.rf.pcm: sb0:51al
[2026-05-15 12:58:20] [INFO]       OK   a050721_183615.rf.pcm: sb0:18al
[2026-05-15 12:58:20] [INFO]       OK   a050717_193544.rf.pcm: sb0:98al
[2026-05-15 12:58:20] [INFO]       OK   a050721_191355.rf.pcm: sb0:13al
[2026-05-15 12:58:20] [INFO]       OK   a050714_205502.rf.pcm: sb0:83al
[2026-05-15 12:58:20] [INFO]       OK   a050717_190255.rf.pcm: sb0:81al
[2026-05-15 12:58:20] [INFO]       OK   a050627_000954.rf.pcm: sb0:42al
[2026-05-15 12:58:20] [INFO]       OK   a050721_195132.rf.pcm: sb0:11al
[2026-05-15 12:58:20] [INFO]       OK   a050721_202903.rf.pcm: sb0:20al
[2026-05-15 12:58:20] [INFO]       OK   a050718_201351.rf.pcm: sb0:90al
[2026-05-15 12:58:20] [INFO]       OK   a050722_183004.rf.pcm: sb0:33al
[2026-05-15 12:58:20] [INFO]       OK   a050722_190744.rf.pcm: sb0:23al
[2026-05-15 12:58:20] [INFO]       OK   a050722_194524.rf.pcm: sb0:13al
[2026-05-15 12:58:20] [INFO]       OK   a050722_202324.rf.pcm: sb0:15al
[2026-05-15 12:58:20] [INFO]       OK   a050724_175104.rf.pcm: sb0:15al
[2026-05-15 12:58:20] [INFO]       OK   a050724_182844.rf.pcm: sb0:36al
[2026-05-15 12:58:20] [INFO]       OK   a050724_194403.rf.pcm: sb0:5al
[2026-05-15 12:58:20] [INFO]       OK   a050724_190625.rf.pcm: sb0:20al
[2026-05-15 12:58:20] [INFO]       OK   a050724_214005.rf.pcm: sb0:4al
[2026-05-15 12:58:20] [INFO]       OK   a050724_202402.rf.pcm: sb0:6al
[2026-05-15 12:58:20] [INFO]       OK   a050724_221747.rf.pcm: sb0:24al
[2026-05-15 12:58:20] [INFO]       OK   a050724_210226.rf.pcm: sb0:7al
[2026-05-15 12:58:20] [INFO]       OK   a050724_225535.rf.pcm: sb0:23al
[2026-05-15 12:58:20] [INFO]       OK   a050725_001118.rf.pcm: sb0:18al
[2026-05-15 12:58:20] [INFO]       OK   a050725_020414.rf.pcm: sb0:3al
[2026-05-15 12:58:20] [INFO]       OK   a050725_004854.rf.pcm: sb0:19al
[2026-05-15 12:58:20] [INFO]       OK   a050725_012635.rf.pcm: sb0:19al
[2026-05-15 12:58:20] [INFO]       OK   a050724_233326.rf.pcm: sb0:18al
[2026-05-15 12:58:20] [INFO]       OK   a050725_024154.rf.pcm: sb0:16al
[2026-05-15 12:58:20] [INFO]       OK   a050823_164705.rf.pcm: sb0:4al
[2026-05-15 12:58:20] [INFO]       SKIP a050827_203848.rf.pcm: too small (14x512)
[2026-05-15 12:58:20] [INFO]       OK   a050823_160709.rf.pcm: sb0:12al
[2026-05-15 12:58:20] [INFO]       OK   a050823_175538.rf.pcm: sb0:66al
[2026-05-15 12:58:20] [INFO]       OK   a050827_201915.rf.pcm: sb0:35al
[2026-05-15 12:58:20] [INFO]       OK   a050824_205919.rf.pcm: sb0:94al
[2026-05-15 12:58:20] [INFO]       OK   a050823_213218.rf.pcm: sb0:92al
[2026-05-15 12:58:20] [INFO]       OK   a050824_195039.rf.pcm: sb0:106al
[2026-05-15 12:58:20] [INFO]       SKIP a050829_163212.rf.pcm: too small (11x128)
[2026-05-15 12:58:20] [INFO]       SKIP a050829_164402.rf.pcm: too small (10x128)
[2026-05-15 12:58:20] [INFO]       OK   a050828_221343.rf.pcm: sb0:15al
