[2026-05-17 16:02:39] [INFO] ================================================================================
[2026-05-17 16:02:39] [INFO] STEP step_003_closure_delays_final STARTED
[2026-05-17 16:02:39] [INFO] Description: Closure delay extraction from arclet triplets (PARALLEL)
[2026-05-17 16:02:39] [INFO] Physics: Measuring holonomy H = ∮ dτ_prop via triangulation
[2026-05-17 16:02:39] [INFO] Method: Parabolic fitting to arclets, parallel epoch processing with ProcessPoolExecutor
[2026-05-17 16:02:39] [INFO] ================================================================================
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:40] [INFO] ═══ TEP-J0437 Step 003: Closure Delay Extraction
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:40] [INFO]       Method: Sub-pixel cross-term measurement Parallel: 12 workers
[2026-05-17 16:02:40] [INFO]       Parameters: max_arclets=12, use_snr_threshold=True, min_snr=5.0
[2026-05-17 16:02:40] [INFO]       
Processing J0437-4715 (Mode: full)...
[2026-05-17 16:02:40] [INFO] ═══ 
Processing J0437-4715...
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:41] [INFO]       Processing 9326 epochs with 12 parallel workers...
[2026-05-17 16:02:42] [INFO]         [OK] a050724_221747.rf.pcm_secondary     Delta=-0.0624 us
[2026-05-17 16:02:42] [INFO]         [OK] a050725_020414.rf.pcm_secondary     Delta=+0.0040 us
[2026-05-17 16:02:42] [INFO]         [OK] a050823_164705.rf.pcm_secondary     Delta=-0.0165 us
[2026-05-17 16:02:42] [INFO]         [OK] a050823_160709.rf.pcm_secondary     Delta=-0.0479 us
[2026-05-17 16:02:42] [INFO]         [OK] a050901_152105.rf.pcm_secondary     Delta=-0.0117 us
[2026-05-17 16:02:42] [INFO]         [OK] a050901_174642.rf.pcm_secondary     Delta=-0.0070 us
[2026-05-17 16:02:42] [INFO]         [OK] a050828_221343.rf.pcm_secondary     Delta=-0.0176 us
[2026-05-17 16:02:42] [INFO]         [OK] a050907_210833.rf.pcm_secondary     Delta=-0.0156 us
[2026-05-17 16:02:42] [INFO]         [OK] a050907_200543.rf.pcm_secondary     Delta=+0.0476 us
[2026-05-17 16:02:42] [INFO]         [OK] a050621_010432.rf.pcm_secondary     Delta=+0.0041 us
[2026-05-17 16:02:42] [INFO]         [OK] a050829_172307.rf.pcm_secondary     Delta=-0.0019 us
[2026-05-17 16:02:42] [INFO]         [OK] a050715_011717.rf.pcm_secondary     Delta=-0.0163 us
[2026-05-17 16:02:42] [INFO]         [OK] a050829_175845.rf.pcm_secondary     Delta=-0.0110 us
[2026-05-17 16:02:42] [INFO]         [OK] a050827_201915.rf.pcm_secondary     Delta=-0.0534 us
[2026-05-17 16:02:42] [INFO]         [OK] a050901_193603.rf.pcm_secondary     Delta=+0.0185 us
[2026-05-17 16:02:42] [INFO]         [OK] a060104_070103.rf.pcm_secondary     Delta=-0.0188 us
[2026-05-17 16:02:42] [INFO]         [OK] a051111_200822.rf.pcm_secondary     Delta=-0.0105 us
[2026-05-17 16:02:42] [INFO]         [OK] a050907_231844.rf.pcm_secondary     Delta=+0.0093 us
[2026-05-17 16:02:42] [INFO]         [OK] a060509_043944.rf.pcm_secondary     Delta=-0.0003 us
[2026-05-17 16:02:42] [INFO]         [OK] a051113_162542.rf.pcm_secondary     Delta=+0.0033 us
[2026-05-17 16:02:42] [INFO]         [OK] a050827_231156.rf.pcm_secondary     Delta=+0.0531 us
[2026-05-17 16:02:42] [INFO]         [OK] a060527_234613.rf.pcm_secondary     Delta=+0.0165 us
[2026-05-17 16:02:43] [INFO]         [OK] a060616_001254.rf.pcm_secondary     Delta=+0.0038 us
[2026-05-17 16:02:43] [INFO]         [OK] a051111_145053.rf.pcm_secondary     Delta=-0.0016 us
[2026-05-17 16:02:43] [INFO]         [OK] a050907_185423.rf.pcm_secondary     Delta=-0.0143 us
[2026-05-17 16:02:43] [INFO]         [OK] a060703_221143.rf.pcm_secondary     Delta=+0.0257 us
[2026-05-17 16:02:43] [INFO]         [OK] a060104_074153.rf.pcm_secondary     Delta=-0.0260 us
[2026-05-17 16:02:43] [INFO]         [OK] a060617_225343.rf.pcm_secondary     Delta=+0.0062 us
[2026-05-17 16:02:43] [INFO]         [OK] a060614_213723.rf.pcm_secondary     Delta=-0.0054 us
[2026-05-17 16:02:43] [INFO]         [OK] a060528_022603.rf.pcm_secondary     Delta=-0.0098 us
[2026-05-17 16:02:43] [INFO]         [OK] a060415_035732.rf.pcm_secondary     Delta=-0.0512 us
[2026-05-17 16:02:43] [INFO]         [OK] a060915_175029.rf.pcm_secondary     Delta=+0.0021 us
[2026-05-17 16:02:43] [INFO]         [OK] a060529_214733.rf.pcm_secondary     Delta=-0.0043 us
[2026-05-17 16:02:43] [INFO]         [OK] a060702_035211.rf.pcm_secondary     Delta=+0.0240 us
[2026-05-17 16:02:43] [INFO]         [OK] a060616_220457.rf.pcm_secondary     Delta=+0.0454 us
[2026-05-17 16:02:43] [INFO]         [OK] a061228_084759.rf.pcm_secondary     Delta=-0.0070 us
[2026-05-17 16:02:43] [INFO]         [OK] a061003_201430.rf.pcm_secondary     Delta=+0.0083 us
[2026-05-17 16:02:43] [INFO]         [OK] a061229_125300.rf.pcm_secondary     Delta=-0.0180 us
[2026-05-17 16:02:43] [INFO]         [OK] a061227_111859.rf.pcm_secondary     Delta=-0.0078 us
[2026-05-17 16:02:43] [INFO]         [OK] a060528_033313.rf.pcm_secondary     Delta=+0.0034 us
[2026-05-17 16:02:43] [INFO]         [OK] a061230_103808.rf.pcm_secondary     Delta=+0.0099 us
[2026-05-17 16:02:43] [INFO]         [OK] a061231_134039.rf.pcm_secondary     Delta=-0.0067 us
[2026-05-17 16:02:43] [INFO]         [OK] a061005_160059.rf.pcm_secondary     Delta=+0.0042 us
[2026-05-17 16:02:43] [INFO]         [OK] a061230_112939.rf.pcm_secondary     Delta=-0.0037 us
[2026-05-17 16:02:43] [INFO]         [OK] a061217_175529.rf.pcm_secondary     Delta=+0.0023 us
[2026-05-17 16:02:43] [INFO]         [OK] a070227_053246.rf.pcm_secondary     Delta=+0.0027 us
[2026-05-17 16:02:43] [INFO]         [OK] a061004_170309.rf.pcm_secondary     Delta=+0.0233 us
[2026-05-17 16:02:43] [INFO]         [OK] a070228_061606.rf.pcm_secondary     Delta=+0.0029 us
[2026-05-17 16:02:43] [INFO]         [OK] a070120_080030.rf.pcm_secondary     Delta=+0.0029 us
[2026-05-17 16:02:43] [INFO]         [OK] a070311_054257.rf.pcm_secondary     Delta=+0.0210 us
[2026-05-17 16:02:43] [INFO]         [OK] a070311_065019.rf.pcm_secondary     Delta=+0.0488 us
[2026-05-17 16:02:43] [INFO]         [OK] a061231_154619.rf.pcm_secondary     Delta=+0.0135 us
[2026-05-17 16:02:43] [INFO]         [OK] a070227_064106.rf.pcm_secondary     Delta=+0.0258 us
[2026-05-17 16:02:43] [INFO]         [OK] a070315_082009.rf.pcm_secondary     Delta=-0.0160 us
[2026-05-17 16:02:43] [INFO]         [OK] a070119_074419.rf.pcm_secondary     Delta=+0.0025 us
[2026-05-17 16:02:43] [INFO]         [OK] a061005_145228.rf.pcm_secondary     Delta=-0.0014 us
[2026-05-17 16:02:43] [INFO]         [OK] a070318_090340.rf.pcm_secondary     Delta=-0.0038 us
[2026-05-17 16:02:43] [INFO]         [OK] a070411_070502.rf.pcm_secondary     Delta=-0.0326 us
[2026-05-17 16:02:43] [INFO]         [OK] a070416_091552.rf.pcm_secondary     Delta=+0.0482 us
[2026-05-17 16:02:43] [INFO]         [OK] a070301_092218.rf.pcm_secondary     Delta=+0.0275 us
[2026-05-17 16:02:43] [INFO]         [OK] a070502_083427.rf.pcm_secondary     Delta=-0.0351 us
[2026-05-17 16:02:43] [INFO]         [OK] a070303_090726.rf.pcm_secondary     Delta=-0.0316 us
[2026-05-17 16:02:43] [INFO]         [OK] a070506_025334.rf.pcm_secondary     Delta=-0.0673 us
[2026-05-17 16:02:43] [INFO]         [OK] a070501_232519.rf.pcm_secondary     Delta=+0.0039 us
[2026-05-17 16:02:43] [INFO]         [OK] a070413_023416.rf.pcm_secondary     Delta=-0.0298 us
[2026-05-17 16:02:43] [INFO]         [OK] a070506_031054.rf.pcm_secondary     Delta=-0.0235 us
[2026-05-17 16:02:43] [INFO]         [OK] a070412_085359.rf.pcm_secondary     Delta=+0.0041 us
[2026-05-17 16:02:43] [INFO]         [OK] a070506_033935.rf.pcm_secondary     Delta=-0.0036 us
[2026-05-17 16:02:43] [INFO]         [OK] a070506_033054.rf.pcm_secondary     Delta=-0.0017 us
[2026-05-17 16:02:43] [INFO]         [OK] a070506_080815.rf.pcm_secondary     Delta=+0.0388 us
[2026-05-17 16:02:43] [INFO]         [OK] a070506_034814.rf.pcm_secondary     Delta=+0.0240 us
[2026-05-17 16:02:43] [INFO]         [OK] a060715_230514.rf.pcm_secondary     Delta=-0.0033 us
[2026-05-17 16:02:43] [INFO]         [OK] a070507_025334.rf.pcm_secondary     Delta=-0.0003 us
[2026-05-17 16:02:43] [INFO]         [OK] a070507_022454.rf.pcm_secondary     Delta=-0.0192 us
[2026-05-17 16:02:44] [INFO]         [OK] a070310_032829.rf.pcm_secondary     Delta=-0.0224 us
[2026-05-17 16:02:44] [INFO]         [OK] a070313_051717.rf.pcm_secondary     Delta=+0.0039 us
[2026-05-17 16:02:44] [INFO]         [OK] a070317_034739.rf.pcm_secondary     Delta=-0.0249 us
[2026-05-17 16:02:44] [INFO]         [OK] a061231_071729.rf.pcm_secondary     Delta=-0.0014 us
[2026-05-17 16:02:44] [INFO]         [OK] a070519_001409.rf.pcm_secondary     Delta=+0.0575 us
[2026-05-17 16:02:44] [INFO]         [OK] a070507_030214.rf.pcm_secondary     Delta=+0.0034 us
[2026-05-17 16:02:44] [INFO]         [OK] a070506_073055.rf.pcm_secondary     Delta=+0.0099 us
[2026-05-17 16:02:44] [INFO]         [OK] a070521_062140.rf.pcm_secondary     Delta=+0.0160 us
[2026-05-17 16:02:44] [INFO]         [OK] a070521_010858.rf.pcm_secondary     Delta=-0.0042 us
[2026-05-17 16:02:44] [INFO]         [OK] a070506_024459.rf.pcm_secondary     Delta=-0.0036 us
[2026-05-17 16:02:44] [INFO]         [OK] a070506_072219.rf.pcm_secondary     Delta=+0.0037 us
[2026-05-17 16:02:44] [INFO]         [OK] a070521_022940.rf.pcm_secondary     Delta=-0.0126 us
[2026-05-17 16:02:44] [INFO]         [OK] a070524_040957.rf.pcm_secondary     Delta=+0.0655 us
[2026-05-17 16:02:44] [INFO]         [OK] a070506_075939.rf.pcm_secondary     Delta=-0.0265 us
[2026-05-17 16:02:44] [INFO]         [OK] a070601_001307.rf.pcm_secondary     Delta=+0.0560 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_010953.rf.pcm_secondary     Delta=-0.0174 us
[2026-05-17 16:02:44] [INFO]         [OK] a070608_005319.rf.pcm_secondary     Delta=-0.0574 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_010120.rf.pcm_secondary     Delta=-0.0367 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_012810.rf.pcm_secondary     Delta=-0.0099 us
[2026-05-17 16:02:44] [INFO]         [OK] a070603_232134.rf.pcm_secondary     Delta=-0.0033 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_023133.rf.pcm_secondary     Delta=-0.0608 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_020540.rf.pcm_secondary     Delta=-0.0032 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_013643.rf.pcm_secondary     Delta=-0.0155 us
[2026-05-17 16:02:44] [INFO]         [OK] a070611_001049.rf.pcm_secondary     Delta=-0.0092 us
[2026-05-17 16:02:44] [INFO]         [OK] a070521_040327.rf.pcm_secondary     Delta=+0.0045 us
[2026-05-17 16:02:44] [INFO]         [OK] a070803_235451.rf.pcm_secondary     Delta=-0.0040 us
[2026-05-17 16:02:44] [INFO]         [OK] a070524_062439.rf.pcm_secondary     Delta=+0.0033 us
[2026-05-17 16:02:44] [INFO]         [OK] a070523_035328.rf.pcm_secondary     Delta=-0.0235 us
[2026-05-17 16:02:44] [INFO]         [OK] a070524_224038.rf.pcm_secondary     Delta=+0.0259 us
[2026-05-17 16:02:44] [INFO]         [OK] a070715_211727.rf.pcm_secondary     Delta=+0.0215 us
[2026-05-17 16:02:44] [INFO]         [OK] a070915_200627.rf.pcm_secondary     Delta=-0.0017 us
[2026-05-17 16:02:44] [INFO]         [OK] a070915_161807.rf.pcm_secondary     Delta=-0.0014 us
[2026-05-17 16:02:44] [INFO]         [OK] a070610_215459.rf.pcm_secondary     Delta=+0.0248 us
[2026-05-17 16:02:44] [INFO]         [OK] a070916_225342.rf.pcm_secondary     Delta=+0.0246 us
[2026-05-17 16:02:44] [INFO]         [OK] a070804_010631.rf.pcm_secondary     Delta=-0.0036 us
[2026-05-17 16:02:44] [INFO]         [OK] a071219_134817.rf.pcm_secondary     Delta=+0.0023 us
[2026-05-17 16:02:44] [INFO]         [OK] a070524_234151.rf.pcm_secondary     Delta=+0.0192 us
[2026-05-17 16:02:44] [INFO]         [OK] a071220_173539.rf.pcm_secondary     Delta=+0.0063 us
[2026-05-17 16:02:44] [INFO]         [OK] a071221_130518.rf.pcm_secondary     Delta=-0.0058 us
[2026-05-17 16:02:44] [INFO]         [OK] a070803_190816.rf.pcm_secondary     Delta=+0.0030 us
[2026-05-17 16:02:44] [INFO]         [OK] a071202_134248.rf.pcm_secondary     Delta=-0.0016 us
[2026-05-17 16:02:44] [INFO]         [OK] m2002-12-13-11:23:51.rf.pcm_seconda Delta=+0.0335 us
[2026-05-17 16:02:44] [INFO]         [OK] a071220_115408.rf.pcm_secondary     Delta=-0.0125 us
[2026-05-17 16:02:44] [INFO]         [OK] m2002-12-13-13:39:05.rf.pcm_seconda Delta=+0.0540 us
[2026-05-17 16:02:44] [INFO]         [OK] a071222_103507.rf.pcm_secondary     Delta=-0.0203 us
[2026-05-17 16:02:44] [INFO]         [OK] m2003-01-12-09:26:00.rf.pcm_seconda Delta=+0.0319 us
[2026-05-17 16:02:44] [INFO]         [OK] m2003-02-05-06:26:48.rf.pcm_seconda Delta=+0.0138 us
[2026-05-17 16:02:44] [INFO]         [OK] m2003-02-07-06:11:25.rf.pcm_seconda Delta=-0.0090 us
[2026-05-17 16:02:44] [INFO]         [OK] m2003-04-14-06:10:48.rf.pcm_seconda Delta=+0.0612 us
[2026-05-17 16:02:44] [INFO]         [OK] a071003_152409.rf.pcm_secondary     Delta=-0.0012 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-06-06-02:33:11.rf.pcm_seconda Delta=+0.0554 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-01-04-09:28:46.rf.pcm_seconda Delta=-0.0080 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-05-15-02:46:38.rf.pcm_seconda Delta=+0.0125 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-07-20-21:30:16.rf.pcm_seconda Delta=-0.0436 us
[2026-05-17 16:02:45] [INFO]         [OK] a071225_101258.rf.pcm_secondary     Delta=-0.0164 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-01-10-13:42:14.rf.pcm_seconda Delta=+0.0101 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-07-28-19:49:37.rf.pcm_seconda Delta=-0.0096 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-08-31-17:10:53.rf.pcm_seconda Delta=+0.0252 us
[2026-05-17 16:02:45] [INFO]         [OK] a070531_220626.rf.pcm_secondary     Delta=+0.0039 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-11-01-14:04:26.rf.pcm_seconda Delta=+0.0070 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-10-07-19:18:28.rf.pcm_seconda Delta=+0.0090 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-12-18-10:38:41.rf.pcm_seconda Delta=-0.0066 us
